*HASH_VALUE	skill ID	name	p	description
_5179F57B8293F93C	AcurateBleedingShot	Точный выстрел с кровопусканием	Точные выстрелы с кровопусканием	
_0779B6D36895A032	AcurateBreathlessShot	Точный выстрел под дых 	Точные выстрелы под дых	
_B436B3C3EBDAAAC5	AnimalSlideslip	Animal Slideslip	Animal Slideslips	
_789A7B66E3228290	AnimalStalking	Animal Stalking	Animal Stalkings	
_CBCEF9DCFCDF911F	Apothecary	Аптекарь	Аптекари	
_E50B5464278A586C	Area	Область	Области	
_A02E8E8B369FED60	ArmorAndWeaponSmithing	Изготовление доспехов и оружия	Изготовление доспехов и оружия	
_E2731A39AAE9816C	ArtAndCraft	Искусство и ремесло	Искусства и ремесла	
_8455814A9EE48079	AttackKamisKnowledge	Attack-Kamis Knowledge	Attack-Kamis Knowledge	
_8A04698DCE729817	AtysianRegeneration	Atysian Regeneration	Atysian Regenerations	
_D807D07E6A5B34BA	Axe	Топор	Топоры	
_53C7C27B0C319674	BackdraftStab	Backdraft Stab	Backdraft Stabs	
_9254448C8BC44CBF	BadLuck	Невезение	Невезение	
_AAB7A4D2689BB7D6	BarehandedCombat	Кулачный бой	Кулачные бои	
_51B5E2642040F92E	BersekAttack	Бросок берсерка 	Броски Берсерка	
_034E41F4E84E6D05	BlackSmithing	Кузнечное дело	Кузнечное дело	
_6488E439E408A06E	Bleeding	Кровопускание	Кровопускание	
_9F068632FF7DBDFA	BlindingRage	Слепящая ярость	Слепящая ярость	
_B570F9CF2243C4FF	BlindShot	Ослепляющий выстрел	Ослепляющие выстрелы	
_2069AC63EC3860C2	BowGun	Арбалет	Арбалеты	
_EA6FD908AF68C4B5	BowPistol	Самострел	Самострелы	
_AA485039A648C46E	Building	Постройка	Постройки	
_826324376D59B61B	BullyraggingBlast	Поток издевок	Потоки издевок	
_819DB9C0A269C01D	Camouflage	Камуфляж	Камуфляжи	
_6738B07AE379D0AE	Caravan	Караван	Караваны	
_5399A67402334998	CerebralFever	Воспаление мозга	Воспаление мозга	
_08214E7346C2C666	ClothTailoring	Изготовление ткани	Изготовление ткани	
_A938E464D4A6E0A7	Cooking	Приготовление пищи	Приготовление пищи	
_5B0CD28FD6511A84	CreatureHatred	Ненависть Зверей	Ненависть зверей	
_A6863C576A570092	Dagger	Кинжал	Кинжалы	
_28D95463EC2808B8	Desert	Пустыня	Пустыни	
_542E1C74316D24D5	DesertExoticRawMaterialKnowledge	Знание редких ресурсов пустыни	Знание редких ресурсов пустыни	
_5044C0743C307578	DesertKamisKnowledge	Знание Ками: пустыни	Знание Ками: пустыни	
_C8543E4DC74F5A49	DesertTravel	Дороги пустынь	Дороги пустынь	
_A718F0795EE7C8A5	Digging	Добыча ископаемых	Добыча ископаемых	
_3365C89800F89E01	DiscreetApproach	Незаметное приближение	Незаметное Приближение	
_296A8C9E68567C5E	Diving	Ныряние	Ныряние	
_2847B082E21804A0	Dodging	Уклонение	Уклонение	
_E966C451ADF7E0A0	Dragon	Змей	Змей	
_218AFC73A2649CAF	Dryade	Дриада	Дриады	
_EDC0E9E6A1776BF3	DualWield	Двоерукий бой	Двоерукий бой	
_6D8940BC243CECB4	Evaluate	Оценка	Оценки	
_15C6AC834EE6E4A5	FarShot	Дальний выстрел	Дальние выстрелы	
_D31B758B716A6090	FarThrow	Дальний бросок	Дальние броски	
_5D22C96802811266	FeverProtect	Антибиотик	Антибиотик	
_229735CB2C772FB6	FirstAid	Первая помощь	Первая помощь	
_EBE92C87DE07C8A6	Fishing	Рыбная ловля	Рыбная ловля	
_AAE9A4666E5808B9	Forest	Лес	Леса	
_0B3E491A816D958B	ForestExoticRawMaterialKnowledge	Знание редких ресурсов леса	Знания редких ресурсов леса	
_5034EC77FCC0A57B	ForestKamisKnowledge	Знание Ками: леса	Знание Ками: леса	
_C8446A5087DF8A4C	ForestTravel	Дороги лесов	Хождения по лесам	
_F28A249AE4D71896	Frost	Холод	Холод	
_A6AB2C9934550CBC	Fyros	Файрос	Файрос	
_23D9DDD45B0AB0C7	FyrosGoods	Товары файросов	Товары файросов	
_A45654621F97C4BA	Goo	Гоу	Гоу	
_1AF57DBCEDF937C5	GreatAxe	Двуручный топор	Двуручные топоры	
_4030D5F2D884DCCE	GreatMass	Двуручная палица	Двуручная палица	
_A9F7C08660A9FC8F	Grenade	Граната	Граната	
_08065EDC9EB37D73	GroundExtract	Извлечение ресурсов	Извлечение ресурсов	
