*HASH_VALUE	outpost ID	name	description
_5B321558ABD3F7D2	fyros_outpost_04.outpost	Granja Malmont	"Puesto fundado en 2489, abandonado en el 2494\n Reto para gremios con rango de expertos\n Un puesto construido al sur de la Malmount y la Cola del Dragón, su actividad esta concentrada en la explotación de los recursos mineros en esta región hostil. Una porción de sus recursos fue transportada a la aldea de Dyron y a los dos talleres cercanos. Las materias primas restantes fueron llevadas a lo largo de la carretera hacia Pyr fuertemente escoltada."
_50ED8AA90BF8EFF5	fyros_outpost_09.outpost	Granja Torres Altas	"Puesto fundado en 2491, abandonado en 2494\n Reto para los gremios de rango avanzado\n Un puesto cuya actividad se desarrollo bajo la influencia de los Cazadores Frahar, que deseaban extraer los recursos de la región. Patrullas de guerreros frecuentes de esta tribu hicieron grandes contribuciones para asegurar los depósitos, permitiendo a los recolectores hacer prospecciones sin temor de ser atacados."
_53FC998C546B1C65	fyros_outpost_13.outpost	Puesto Fronterizo al Oeste de Blackburn	"Puesto fundado en 2490, abandonado en 2494\n Reto para gremios con rangos confirmados\n Construido encima de un vinculo situado en la frontera del Bosque Quemado, este puesto fue utilizado para mantener una vigilancia constante sobre los infiernos del bosque para evitar su propagación hacia la región del oasis. Los soldados del imperio consideraban un honor ser destinados al Frente Occidental."
_89C748F535AAF4B7	fyros_outpost_14.outpost	Puesto de Comercio de Blackburn	"Puesto fundado en 2489, abandonado en 2494\n Reto para gremios del rango de aprendices\n Este puesto fue uno de los primeros puntos de encuentro establecido en el Desierto Ardiente.  Los viajeros que venían del sur se detenían ahí con frecuencia para descansar y comerciar antes de llegar a la capital. Este toma su nombre del Bosque Ardiente que se encuentra al sur oeste."
_6BA8D5A58D8A1A4E	fyros_outpost_25.outpost	Granja de las Dunas del Fin de Sur	"Puesto fundado en 2490, abandonado en 2494\n Reto para los gremios con rango de expertos\n Este puesto, instalado en un nexo descubierto por los Kamis al Sur de la región, fue causa de fricción entre las autoridades de Por y los clanes Fyros que se rehusaban a dar su lealtad al imperio. Tras el cobro de un tributo considerable, los jefes de estos barbaros finalmente toleraron la existencia de la granja."
_CA34A30E77B90623	fyros_outpost_27.outpost	Polo Mágico de Wooburn	"Puesto fundado en 2490, abandonado en 2494\n Reto para los gremio con rango de maestros\n Este puesto, establecido en el corazón del Desierto Ardiente,  fue controlado por los elementalistas imperiales que deseaban explotar el poder del fuego. Nuevos hechizos fueron creados gracias a los experimentos llevados a cabo por los magos, elevando el arte de los misterios al estatus  como un arte propio de la guerra de la sociedad Fyros."
_BDE3EE74BFBEBE61	fyros_outpost_28.outpost	Fortaleza de Woodburn	"Puesto fundado en 2491, abandonado en 2494\n Reto para gremios de rango de maestros\n Puesto que fue fortificado  por ordenes del Regente Leanon. Este protegió al Bosque Ardiente de los saqueadores y enemigos del imperio. A través de su duración,  la guarnición que lo defendía tuvo que enfrentarse con regularidad a la tribu de los Quemadores, magos que deseaban llegar a las fuentes del fuego encantado."
_FD20D1D4049E722D	tryker_outpost_06.outpost	Puesto de Comercio de Greenvale	"Puesto fundado en 2493\n Reto para los gremios con rango de aprendices\n Construido al este de Fairhaven en un pequeño y muy verde valle rodeado por acantilados, este puesto muy rápidamente desarrollo muchas actividades de comercio, en particular con el pueblo de Windermeer. No obstante, este soporto los continuos ataques de los bandidos."
_5B18CB8946250B0A	tryker_outpost_10.outpost	Puesto de Comercio Porche de la Fuente	"Puesto fundado en 2486, abandonado en 2493\n Reto para los gremios de rango avanzado\n La actividad comercial en este puesto de intercambio fue desarrollada por la tribu de los Contrabandistas. los gremios mercantiles de la federación Tryker intento muchas veces tomar el control de las transacciones que se llevaban a cabo en la región, pero con poco éxito.  Un dicho popular dice que puedes encontrar cualquier cosa en el puesto de Fountporch, incluso lo imposible."
_4EFEA1E7C0439509	tryker_outpost_16.outpost	Centro de Investigación de la Puerta del Cementerio	"Puesto fundado en 2489, abandonado en 2493 \n Reto para los gremios con rango de expertos\n Cuando un buscador descubrió unos huesos extraños cerca de este puesto, los académicos de la Federación los examinaron pero fueron incapaces de identificar sus orígenes. Se estableció un centro de investigación a pesar de las protestas de los Limpia Playas, quienes no estaban muy interesados en ver hordas de taladores invadir los terrenos cerca de El Camino al Cementerio. El área era sagrada para ello, siendo considerada una senda ritual hacia las tierras donde la tribu enterrada a sus muertos."
_D8762257F536008A	tryker_outpost_22.outpost	Taller de Picos Gemelos	"Puesto fundado en 2487, abandonado en 2493\n Reto para los gremios con rango de expertos\n Un taller que se expandió bajo la influencia de un rico artesano ryker. El escándalo salto fuera cuando se descubrió que había hecho su fortuna a causa de una  cercana colaboración con la tributo de los Esclavistas. El artesano fue arrestado, y luego el puesto fue manejado por un gremio federal hasta que fue abandonado."
_B11ACD519839AD43	tryker_outpost_24.outpost	Taller de Windway	"Puesto fundado en 2484, abandonado en 2493\n Reto para los gremios de rangos confirmados\n Este puesto fue construido cerca del primer gran trepano instalado por los Karavan en las Nuevas Tierras. Gracias a esta  maquina bendecida por Jena, los artesanos de la tribu de los Escultores de Limo estuvieron entre  los primeros en experimentar nuevas materias primas de las profundidades de Atys. Ellos son los precursores de la industria de la artesanía del puesto."
_D35FE6C01736C84C	tryker_outpost_29.outpost	Fuerte de Loria 	"Puesto fundado en 2490, abandonado en 2493\n Reto para los gremios con rango de maestros\n Después que su gran trepan fue instalado este puesto fue atacado por los Hermanos de las Lagunas, quienes tomaron los preciosos recursos extraídos por el taladro. Un regimiento militar federal fue enviado a reconquistar el puesto. Los soldados barrieron a los piratas y luego construyeron un fuerte que dedicaron a Loria, la famosa heroína Tryker."
_14719DD3A0341BBF	tryker_outpost_31.outpost	Fuerte del Remolino	"Puesto fundado en 2489, abandonado en 2493\n Reto para los gremios con rango de maestros\n La posición estratégica de este puesto, junto al vórtice que conduce al Lago de la Libertada, por mucho tiempo lo convirtió en un objetivo favorito de los bandidos y otros piratas que acechaban a las Lagunas de Loria. Un fuerte fue construido a fin de repeler estos ataques. Ocurrieron numerosos choques en sus muros antes que el puesto fuera abandonado."
