*HASH_VALUE	sphrase ID	name	* noms français	p	description
_D114DE6B770B08D3	abf01	Базовая атака			Боевое действие по умолчанию.
_81948476F7C02C12	aBFMA01	Повышенный урон 1			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 10.
_8194847637E02C12	aBFMA02	Повышенный урон 2			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 20.
_819484A477002C12	aBFMA03	Повышенный урон 3			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 30.
_819484A4F9202C12	aBFMA04	Повышенный урон 4			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 45.
_819484A4F8602C12	aBFMA05	Повышенный урон 5			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 70.
_819484A438902C12	aBFMA06	Повышенный урон 6			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 90.
_81943CABB8202C12	aBFMA07	Повышенный урон 7			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 115.
_81943CA6BA302C12	aBFMA08	Повышенный урон 8			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 140.
_81943CAB7A402C12	aBFMA09	Повышенный урон 9			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 165.
_DDFF719D0E9B530E	aBFMA10	Повышенный урон 10			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 190.
_DDFF85964EAB530E	aBFMA11	Повышенный урон 11			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 215.
_DDFF719A4EBB530E	aBFMA12	Повышенный урон 12			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 240.
_DDFF859D4ECB530E	aBFMA13	Повышенный урон 13			Повышает урон от нанесенного удара до 200% - максимальная эффективность для уровня развития навыка 265.
_2E67673587860FDF	aBFMC01	Прицельный удар 1			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 20.
_2E67673508A60FDF	aBFMC02	Прицельный удар 2			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 35.
_2E67673507D60FDF	aBFMC03	Прицельный удар 3			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 50.
_2E67673589F60FDF	aBFMC04	Прицельный удар 4			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 65.
_2E67673588360FDF	aBFMC05	Прицельный удар 5			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 90.
_2E671F3C08C60FDF	aBFMC06	Прицельный удар 6			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 115.
_2E671F3709D60FDF	aBFMC07	Прицельный удар 7			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 140.
_2E671F370AE60FDF	aBFMC08	Прицельный удар 8			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 170.
_2E671F3789060FDF	aBFMC09	Прицельный удар 9			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 200.
_F1024ED620BDADB2	aBFMC10	Прицельный удар 10			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 235.
_F1024EDB20CDADB2	aBFMC11	Прицельный удар 11			Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 275.
_E476C1DC32F82500	aBFMD01	Кровотечение 1			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 25."
_E476C5DD32082500	aBFMD02	Кровотечение 2			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 35."
_E426CDDE32182500	aBFMD03	Кровотечение 3			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 50."
_E476D1DF32282500	aBFMD04	Кровотечение 4			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 65."
_E426DDE032382500	aBFMD05	Кровотечение 5			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 90."
_A636BDE13248252E	aBFMD06	Кровотечение 6			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 115."
_6566BDE23258252E	aBFMD07	Кровотечение 7			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 140."
_A686BDE33268252E	aBFMD08	Кровотечение 8			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 165."
_6526C1E43278252E	aBFMD09	Кровотечение 9			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 200."
_EC6DE377614890A8	aBFMD10	Кровотечение 10			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 235."
_ED6DE777615890A8	aBFMD11	Кровотечение 11			"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 275."
_1CD63F5A46D02A42	abfcb01	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46E02A42	abfcb02	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46F02A42	abfcb03	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46002A42	abfcb04	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46102A42	abfcb05	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
