*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_5179F57B8293F93C	AcurateBleedingShot	Disparo Sangrante Certero	un	el	Disparos Sangrantes Certeros		los	
_0779B6D36895A032	AcurateBreathlessShot	Disparo sin Aliento Certero	un	el	Disparos sin Aliento Certeros		los	
_B436B3C3EBDAAAC5	AnimalSlideslip	Deslizamiento Animal	un	el	Deslizamientos de animal		los	
_789A7B66E3228290	AnimalStalking	Animal al Acecho	un	el	Animales en Acecho		los	
_CBCEF9DCFCDF911F	Apothecary	Boticario	un	el	Boticarios		los	
_E50B5464278A586C	Area	Área	un	el	Aéreas		las	
_A02E8E8B369FED60	ArmorAndWeaponSmithing	Herrería de armadura y Arma			Herrería de armaduras y Armas		las	
_E2731A39AAE9816C	ArtAndCraft	Arte y Artesanía		el	Artes y Artesanías		las	
_8455814A9EE48079	AttackKamisKnowledge	Ataque al Conocimiento Kamis	un	el	Ataques al Conocimiento Kamis		los	
_8A04698DCE729817	AtysianRegeneration	Regeneración atysiana	una	la	Regeneraciones atysianas		las	
_D807D07E6A5B34BA	Axe	Hacha	un	el	Hachas		las	
_53C7C27B0C319674	BackdraftStab	Puñalada trasera o por la espalda	a	la	Puñaladas traseras o por la espalda		las	
_9254448C8BC44CBF	BadLuck	Mala Suerte	un	la	Mala Suerte		las	
_AAB7A4D2689BB7D6	BarehandedCombat	Combate con las manos Vacías	un	el	Combates con las manos Vacías		los	
_51B5E2642040F92E	BersekAttack	Ataque Enloquecido	un	el	Ataques Enloquecidos		los	
_034E41F4E84E6D05	BlackSmithing	Herrería			Herrería			
_6488E439E408A06E	Bleeding	Sangrado			Sangrados		los	
_9F068632FF7DBDFA	BlindingRage	Furia Cegadora	una	la	Furias Cegadoras		las	
_B570F9CF2243C4FF	BlindShot	Disparo a Ciegas	un	e	Disparos a Ciegas		los	
_2069AC63EC3860C2	BowGun	Arma de arco	un	el	Armas de arco		las	
_EA6FD908AF68C4B5	BowPistol	Pistola de arco	una	la	Pistolas de arco		las	
_AA485039A648C46E	Building	Edificio			Edificios		los	
_826324376D59B61B	BullyraggingBlast		unas	las	Explosiones de Ofensas y Burlas		las	
_819DB9C0A269C01D	Camouflage	Camuflaje	un	el	Camuflajes		los	
_6738B07AE379D0AE	Caravan	Karavan	un	el	Karavans		los	
_5399A67402334998	CerebralFever	Fiebre Cerebral	una	la	Fiebres Cerebrales		las	
_08214E7346C2C666	ClothTailoring	Tela de confección			Telas de confección		las	
_A938E464D4A6E0A7	Cooking	Cocina			Cocina		la	
_5B0CD28FD6511A84	CreatureHatred	Criatura Odiada	una	la	Criaturas Odiadas		las	
_A6863C576A570092	Dagger	Daga	un	la	Dagas		las	
_28D95463EC2808B8	Desert	Desierto	un	el	Desiertos		los	
_542E1C74316D24D5	DesertExoticRawMaterialKnowledge	Conocimiento de materias primas exóticas del desierto	un	e	Conocimientos de materias primas exóticas del desierto		los	
_5044C0743C307578	DesertKamisKnowledge	Conocimiento del desierto-Kamis	un	el	Conocimiento del desierto-Kamis		los	
_C8543E4DC74F5A49	DesertTravel	Viaje al Desierto	un	e	Viajes al Desierto		los	
_A718F0795EE7C8A5	Digging	Excavación			Excavaciones		las	
_3365C89800F89E01	DiscreetApproach	Acercamiento Discreto	un	el	Acercamientos Discretos		los	
_296A8C9E68567C5E	Diving	Buceo			Buceos		los	
_2847B082E21804A0	Dodging	Evasión	una	la	Evasiones		las	
_E966C451ADF7E0A0	Dragon	Dragón	un	el	Dragones		los	
_218AFC73A2649CAF	Dryade	Driada	una	la	Driadas		las	
_EDC0E9E6A1776BF3	DualWield	Arma en Cada mano	un	el	Armas en Ambas manos		las	
_6D8940BC243CECB4	Evaluate	Huida	una	la	Huidas		las	
_15C6AC834EE6E4A5	FarShot	Tiro Lejano	un	el	Tiros Lejanos		los	
_D31B758B716A6090	FarThrow	Lanzamiento Lejano	un	el	Lanzamientos Lejanos		los	
_5D22C96802811266	FeverProtect	Protector contra la fiebre	un	el	Protectores contra la Fiebre		los	
_229735CB2C772FB6	FirstAid	Primeros Auxilios	unos	los	Primeros Auxilios		los	
_EBE92C87DE07C8A6	Fishing	Pesca			Pescas		las	
_AAE9A4666E5808B9	Forest	Bosque	una	el	Bosques		los	
_0B3E491A816D958B	ForestExoticRawMaterialKnowledge	Conocimiento de materia Prima de exótica del Bosque	un	el	Conocimientos de materia Prima Exótica del Bosque		los	
_5034EC77FCC0A57B	ForestKamisKnowledge	Conocimiento del Bosque-Kami	un	el	Conocimientos del Bosque-Kami		los	
_C8446A5087DF8A4C	ForestTravel	Viaje al Bosque	un	el	Viajes al Bosque		los	
_F28A249AE4D71896	Frost	Escarcha/Helada	una	la	Escarchas/Heladas		las	
_A6AB2C9934550CBC	Fyros	Fyros	un	el	Fyros		los	
_23D9DDD45B0AB0C7	FyrosGoods	Mercancía Fyros			Mercancías Fyros		las	
_A45654621F97C4BA	Goo	Goo		el	Goo		los	
_1AF57DBCEDF937C5	GreatAxe	Gran Hacha	un	el	Grandes Hachas		las	
_4030D5F2D884DCCE	GreatMass	Gran mazo	un	el	Grandes mazos		los	
_A9F7C08660A9FC8F	Grenade	Granada	una	la	Granadas		las	
_08065EDC9EB37D73	GroundExtract	Extracto del Suelo	un	el	Extractos del Suelo		los	
_79F6AB61B9E5010C	HandToHand	Mano a mano	una	la	Mano a mano		las	
_26BBA88C9D73D4A7	Harpoon	Arpón	un	el	Arpones		los	
_2BCE3B7A5BDACBB6	HarpoonHunting	Cacería Bajo el Agua	una	la	Cacerías Bajo el Agua		las	
_6859B085A7C998AF	Harvest	Cosecha	una	la	Cosechas		las	
_EB948CF094239D1E	HealingKamisKnowledge	Conocimiento de curacion-Kami	un	el	Conocimientos de curación Kami		los	
_F92866BFE38BCB95	HearWithering	Marchitez sonora	una	la	Marchiteces Sonoras		las	
_640B62BEC91C82E5	HeavyArmourWear	Vestir Armadura Pesada	una	la	Vestir Armaduras Pesadas		las	
_71544EE048F0E123	HeavyWeapon	Arma Pesada	un	el	Armas Pesadas		las	
_A8888C626796B06B	Hide	Escondites	un	el	Escondites		los	
_61E7E149D27F1BCF	HominOpponentConsiderWeapon	Homin	a	the	Consideraciones Homin		las	
_EDE50008D7249D1E	HuntingKamisKnowledge	Conocimiento de caceria-Kami	un	el	Conocimientos de caceria-Kami		los	
_E26A44A9F229689B	Jewellery	Joya		la	Joyas		las	
_6836DC6A2C2798A7	Jungle	Selva	una	la	Selvas		las	
_D43BDC86316D70C3	JungleExoticRawMaterialKnowledge	Conocimiento de materia Prima Exótica de la Selva	un	el	Conocimientos de materias Primas Exóticas de la Selva		los	
_D002AC767BE09178	JungleKamisKnowledge	Conocimiento Kami de la Selva	un	el	Conocimientos Kami de la Selva		los	
_48122A4F06FF7649	JungleTravel	Viaje a la Jungla	un	el	Viajes a la Jungla		los	
_66B8AC6A67086042	Kami	Kami	un	el	Kamis		los	
_B2D412D83E3E19EF	KamicShield	Escudo Kamic	un	el	Escudos Kamis		los	
_BFCCBDCE2A8BD517	KamicShock	Choque Kami	un	e	Choques Kamkis		los	
