*HASH_VALUE	outpost ID	name	description
_5B321558ABD3F7D2	fyros_outpost_04.outpost	Ferme de Malmontagne	Avant-poste fondé en 2489, abandonné en 2494\n Défi pour guildes de rang expert\n Un avant-poste construit au sud de Malmontagne et de la Queue du Dragon, son activité se concentrait sur l'exploitation des ressources dans cette région hostile. Une partie de ces ressources était acheminée vers le village de Dyron et les deux ateliers des environs. Le reste des matériaux prenait la route de Pyr sous bonne escorte.
_50ED8AA90BF8EFF5	fyros_outpost_09.outpost	Ferme des Hautes Tours	Avant-poste fondé en 2491, abandonné en 2494\n Défi pour guildes de rang initié\n Un avant-poste dont l'activité s'est développé sous l'influence des Chasseurs de Frahars, qui désiraient exploiter les ressources de la région. Les patrouilles fréquentes des guerriers de cette tribu contribuèrent grandement à sécuriser les gisements, permettant aux récolteurs de prospecter sans crainte d'être attaqués.
_53FC998C546B1C65	fyros_outpost_13.outpost	Poste Frontière Ouest de la Combustion	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang confirmé\n Construit sur un nexus localisé aux frontières de la Forêt Enflammée, cet avant-poste a été utilisé pour maintenir une surveillance constante des brasiers de la forêt, afin d'éviter qu'ils ne s'étendent à la région des oasis. Les soldats de l'empire considéraient comme un honneur l'affectation au Poste Frontière Ouest.
_89C748F535AAF4B7	fyros_outpost_14.outpost	Poste d'Echange de la Combustion	Avant-poste fondé en 2489, abandonné en 2494\n Défi pour guildes de rang apprenti\n Cet avant-poste fut l'un des premiers point de rencontre établi dans le Désert Brûlant. Les voyageurs venant du sud s'y arrêtaient fréquemment pour se reposer et faire du commerce avant de rejoindre la capitale. Il tire son nom de la Forêt Enflammée qui se trouve au sud-ouest.
_6BA8D5A58D8A1A4E	fyros_outpost_25.outpost	Ferme des Dunes du Bas	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang expert\n Cet avant-poste, installé sur un nexus détecté par les Kamis au sud de la région, a été la cause de frictions entre les autorités de Pyr et des clans de Fyros refusant toute allégeance à l'Empire. Les chefs de ces barbares ont fini par tolérer l'existence de la ferme, après le versement d'un tribut conséquent.
_CA34A30E77B90623	fyros_outpost_27.outpost	Pôle Magique des Bois Calcifiés	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang maître\n Cet avant-poste, établi au coeur de la Forêt Enflammée, fut contrôlé par des élémentalistes impériaux qui désiraient exploiter la puissance du feu. De nouveaux sortilèges furent créés grâce aux expérimentations de ces magiciens, imposant l'art des arcanes comme un véritable art de la guerre au sein de la société fyros.
_BDE3EE74BFBEBE61	fyros_outpost_28.outpost	Forteresse des Bois Calcifiés	Avant-poste fondé en 2491, abandonné en 2494\n Défi pour guildes de rang maître\n Avant-poste qui devint une place fortifiée sur ordre de la Régente Leanon. Il protégeait la Forêt Enflammée des pillards et des ennemis de l'empire. Pendant toute la durée de son activité, la garnison qui le défendait dut affronter régulièrement la tribu des Écorcheurs, des magiciens qui convoitaient les sources de feu enchanté.
_FD20D1D4049E722D	tryker_outpost_06.outpost	Poste d'Échange de Vertval	Avant-poste fondé en 2489, abandonné en 2493\n Défi pour guildes de rang apprenti\n Construit à l'ouest de Fairhaven dans une petite vallée verdoyante entourée de falaises, cet avant-poste a développé très rapidement de nombreuses activités commerciales, notamment avec le village de Windermeer. Il a néanmoins dû faire face à d'incessantes attaques de bandits.
_5B18CB8946250B0A	tryker_outpost_10.outpost	Poste d'Échange du Porche des Sources	Avant-poste fondé en 2486, abandonné en 2493\n Défi pour guildes de rang initié\n L'activité commerciale de ce poste d'échange fut développée par la tribu des Contrebandiers. Les guildes marchandes de la fédération tryker tentèrent à plusieurs reprises de contrôler les transactions qui se déroulaient dans la région, mais sans grand succès. Un dicton populaire prétendait que l'on pouvait tout trouver au Porche des Sources, même l'introuvable.
_4EFEA1E7C0439509	tryker_outpost_16.outpost	Centre de Recherche de la Promenade Caverneuse	Avant-poste fondé en 2489, abandonné en 2493\n Défi pour guildes de rang expert\n Lorsque un prospecteur découvrit d'étranges ossements au voisinage de l'avant-poste, des savants de la Fédération les examinèrent, mais ne parvinrent pas à identifier leur origine. Un centre de recherche fut installé malgré les protestations des Déferlants, qui n'appréciaient guère de voir des hordes de foreurs envahir les abords de la Promenade Caverneuse. Cet endroit était en effet sacré pour eux, étant considéré comme un chemin rituel vers le cimetière de la tribu.
