*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_5179F57B8293F93C	AcurateBleedingShot	Tir précis sanglant	un	le	Tirs précis sanglants	des	les	
_0779B6D36895A032	AcurateBreathlessShot	Tir précis à couper le souffle	un	le	Tirs précis à couper le souffle	des	les	
_B436B3C3EBDAAAC5	AnimalSlideslip	Glissade / Flanc d'un animal	une	la	Glissades / Flanc d'animaux	des	les	
_789A7B66E3228290	AnimalStalking	Traque d'animaux	une	la	Traques d'animaux	des	les	
_CBCEF9DCFCDF911F	Apothecary	Apothicaire	un	l'\d	Apothicaires	des	les	
_E50B5464278A586C	Area	Zone	une	la	Zones	des	les	
_A02E8E8B369FED60	ArmorAndWeaponSmithing	Forge d'armure et d'armes	une	la	Forges d'armures et d'armes	des	les	
_E2731A39AAE9816C	ArtAndCraft	Artisanat d'art		l'\d	Artisanat d'art			
_8455814A9EE48079	AttackKamisKnowledge	Connaissance des attaques kamis	une	la	Connaissances des attaques kamis	des	les	
_8A04698DCE729817	AtysianRegeneration	Régénération atysienne	une	la	Régénérations atysiennes	des	les	
_D807D07E6A5B34BA	Axe	Hache	une	l	Haches	des	les	
_53C7C27B0C319674	BackdraftStab	Coup explosif	un	le	Coups explosifs	des	les	
_9254448C8BC44CBF	BadLuck	Malchance	une	la	Malchance	des	les	
_AAB7A4D2689BB7D6	BarehandedCombat	Combat à mains nues	un	le	Combats à mains nues	des	les	
_51B5E2642040F92E	BersekAttack	Attaque démente	une	l'\d	Attaques démentes	des	les	
_034E41F4E84E6D05	BlackSmithing	Forgeron	un		Forgerons	des	les	
_6488E439E408A06E	Bleeding	Hémorragie			Hémorragies	des	les	
_9F068632FF7DBDFA	BlindingRage	Rage aveuglante	une	la	Rages aveuglantes	des	les	
_B570F9CF2243C4FF	BlindShot	Tir à l'aveugle	un	le	Tirs à l'aveugle	des	les	
_2069AC63EC3860C2	BowGun	Arbalète	une	l'\d	Arbalètes	des	les	
_EA6FD908AF68C4B5	BowPistol	Pistolet-arbalète	un	le	Pistolets-arbalètes	des	les	
_AA485039A648C46E	Building	Construction			Constructions	des	les	
_826324376D59B61B	BullyraggingBlast	Explosion déchaînée	une	l'\d	Explosions déchaînées	des	les	
_819DB9C0A269C01D	Camouflage	Camouflage	un	le	Camouflages	des	les	
_6738B07AE379D0AE	Caravan	Karavan	une	la	Karavans	des	les	
_5399A67402334998	CerebralFever	Fièvre cérébrale	une	la	Fièvres cérébrales	des	les	
_08214E7346C2C666	ClothTailoring	Couture	une	la	Coutures	des	les	
_A938E464D4A6E0A7	Cooking	Cuisiner			Cuisiner			
_5B0CD28FD6511A84	CreatureHatred	Haine des créatures	une	la	Haine des créatures			
_A6863C576A570092	Dagger	Dague	une	la	Dagues	des	les	
_28D95463EC2808B8	Desert	Désert	un	le	Déserts	des	les	
_542E1C74316D24D5	DesertExoticRawMaterialKnowledge	Connaissance des matières premières exotiques du Désert	une	la	Connaissances des matières premières exotiques du Désert	des	les	
_5044C0743C307578	DesertKamisKnowledge	Connaissance des Kamis du Désert	une	la	Connaissances des Kamis du Désert	des	les	
_C8543E4DC74F5A49	DesertTravel	Voyage dans le Désert	un	le	Voyages dans le Désert	des	les	
_A718F0795EE7C8A5	Digging	Excavation			Excavations	des	les	
_3365C89800F89E01	DiscreetApproach	Approche discrète	une	l'\d	Approches discrètes	des	les	
_296A8C9E68567C5E	Diving	Plongeon			Plongeons	des	les	
_2847B082E21804A0	Dodging	Esquive	une	l'\d	Esquives	des	les	
_E966C451ADF7E0A0	Dragon	Dragon	un	le	Dragons	des	les	
_218AFC73A2649CAF	Dryade	Dryade	une	la	Dryades	des	les	
_EDC0E9E6A1776BF3	DualWield	Double maniement	un	le	Doubles maniements	des	les	
_6D8940BC243CECB4	Evaluate	Évaluation	une	l'\d	Évaluations	des	les	
_15C6AC834EE6E4A5	FarShot	Tir à longue portée	un	le	Tirs à longues portée	des	les	
_D31B758B716A6090	FarThrow	Lancer à longue portée	un	le	Lancers à longue portée	des	les	
_5D22C96802811266	FeverProtect	Protection contre la fièvre	une	la	Protections contre la fièvre	des	les	
_229735CB2C772FB6	FirstAid	Premier soin	un	le	Premiers soins	des	les	
_EBE92C87DE07C8A6	Fishing	Pêche			Pêches	des	les	
_AAE9A4666E5808B9	Forest	Forêt	une	la	Forêts	des	les	
_0B3E491A816D958B	ForestExoticRawMaterialKnowledge	Connaissance des matières premières exotiques des Forêts	une	la	Connaissances des matières premières exotiques des Forêts	des	les	
_5034EC77FCC0A57B	ForestKamisKnowledge	Connaissance des Kamis des Forêts	une	la	Connaissances des Kamis des Forêts	des	les	
_C8446A5087DF8A4C	ForestTravel	Voyage en Forêt	un	le	Voyages en Forêt	des	les	
_F28A249AE4D71896	Frost	Gel	un	le	Gels	des	les	
_A6AB2C9934550CBC	Fyros	Fyros	un	le	Fyros	des	les	
_23D9DDD45B0AB0C7	FyrosGoods	Biens fyros			Biens fyros	des	les	
_A45654621F97C4BA	Goo	Goo		la	Goo	des	les	
_1AF57DBCEDF937C5	GreatAxe	Grande hache	une	la	Grandes haches	des	les	
_4030D5F2D884DCCE	GreatMass	Grande massue	une	la	Grandes massues	des	les	
_A9F7C08660A9FC8F	Grenade	Grenade	une	la	Grenades	des	les	
_08065EDC9EB37D73	GroundExtract	Extraction des sols	une	l'\d	Extractions des sols	des	les	
_79F6AB61B9E5010C	HandToHand	Corps à corps	un	le	Corps à corps	des	les	
_26BBA88C9D73D4A7	Harpoon	Harpon 	un	le	Harpons	des	les	
_2BCE3B7A5BDACBB6	HarpoonHunting	Chasse au harpon	une	la	Chasses au harpon	des	les	
_6859B085A7C998AF	Harvest	Récolte	une	la	Récoltes	des	les	
_EB948CF094239D1E	HealingKamisKnowledge	Connaissance des Kamis de guérison	une	la	Connaissances des Kamis de guérison	des	les	
_F92866BFE38BCB95	HearWithering	Affaiblissement de l'ouïe	un	l'\d	Affaiblissements de l'ouïe	des	les	
_640B62BEC91C82E5	HeavyArmourWear	Vêtement pour armure lourde	un	le	Vêtements pour armures lourdes	des	les	
_71544EE048F0E123	HeavyWeapon	Arme lourde	une	l'\d	Armes lourdes	des	les	
_A8888C626796B06B	Hide	Cachette	une	la	Cachettes	des	les	
_61E7E149D27F1BCF	HominOpponentConsiderWeapon	Considération homine	une	la	Considérations homines	des	les	
_EDE50008D7249D1E	HuntingKamisKnowledge	Connaissance des Kamis chasseurs	une	la	Connaissances des Kamis chasseurs	des	les	
_E26A44A9F229689B	Jewellery	Bijoux			Bijoux	des	les	
_6836DC6A2C2798A7	Jungle	Jungle	une	la	Jungles	des	les	
_D43BDC86316D70C3	JungleExoticRawMaterialKnowledge	Connaissance des matières premières exotiques de la Jungle	une	la	Connaissances des matières premières exotiques de la Jungle	des	les	
_D002AC767BE09178	JungleKamisKnowledge	Connaissance des Kamis de la Jungle	une	la	Connaissances des Kamis de la Jungle	des	les	
_48122A4F06FF7649	JungleTravel	Voyage dans la Jungle	un	le	Voyages dans la Jungle	des	les	
_66B8AC6A67086042	Kami	Kami	un	le	Kamis	des	les	
_B2D412D83E3E19EF	KamicShield	Bouclier kamique	un	le	Boucliers kamiques	des	les	
_BFCCBDCE2A8BD517	KamicShock	Choc kamique	un	le	Chocs kamiques	des	les	
_6678EC6AE728C042	Kick	Coup de pied	un	le	Coups de pied	des	les	
_6629A89C6C9428A7	Kitin	Kitin	un	le	Kitins	des	les	
_6478AC6C64A86045	Lake	Lac	un	le	Lacs	des	les	
_F97BD9096BA49380	LakeArmor	Armure des Lacs		l'\d	Armures des Lacs	des	les	
_B07CB462F9A9C8D8	LakeExoticRawMaterialKnowledge	Connaissance des matières premières exotiques des Lacs	une	la	Connaissances des matières premières exotiques des Lacs	des	les	
_28CFFC31CA6B47F2	LakeKamisKnowledge	Connaissance des Kamis des Lacs	une	la	Connaissances des Kamis des Lacs	des	les	
_FF4DC5E9C12A3403	LakeTravel	Voyage dans les Lacs	un	le	Voyages dans les Lacs	des	les	
_8B21013F85EEE200	LeadAnimal	Animal de tête	un	l'\d	Animaux de tête	des	les	
_404CCCFC606DB7A4	LeatherTailoring	Traitement du cuir	un	le	Traitements du cuir	des	les	
_04D81F0172B9CF5A	LeftHandedAttack	Attaque de la main gauche	une	l'\d	Attaques de la main gauche	des	les	
_21775CB4E56D5B7C	LeftHandedParry	Parade de la main gauche	une	la	Parades de la main gauche	des	les	
_0C452E1ADB0F4DDD	LifeAlchemy	Alchimie de la vie	une	l'\d	Alchimies de la vie	des	les	
_2687E4D96CC9C432	LifeGift	Don de vie	un	le	Dons de vie	des	les	
_61EA3687978923C4	LightArmourWear	Vêtement pour armure légère	un	le	Vêtements pour armures légères	des	les	
_69374089A477E8A4	Madness	Folie	une	la	Folie	des	les	
_455DACCC024CA8F0	MagicObjects	Objet magique			Objets magiques	des	les	
_4A1563AB5D130552	MagicTransfert	Transfert magique	un	la	Transferts magiques	des	les	
_3C8E85DF39A1D502	MajorDryade	Dryade majeure	une	la	Dryades majeures	des	les	
_29D697CA61F99ED6	MajorHealLife	Guérison majeure de vie	une	la	Guérisons majeures de vie	des	les	
_221426D45905F8BD	MajorLifeRegeneration	Régénération majeure de vie	une	la	Régénérations majeures de vie	des	les	
_F38A5F79563A0FA9	MajorMandragore	Mandragore majeure	une	la	Mandragores majeures	des	les	
_B2D6DE9C984FBAD2	MajorSapHeal	Guérison majeure de sève	une	la	Guérisons majeures de sève	des	les	
_6A3765DA24F200B7	MajorSapRegenearation	Régénération majeure de sève	une	la	Régénérations majeures de sève	des	les	
_C3BDE5F46A8D2923	MajorSylve	Sylve majeure	une	la	Sylves majeures	des	les	
_2271748AD8753575	MajorTirednessHeal	Guérison majeure de fatigue	une	la	Guérisons majeures de fatigue	des	les	
_CD60785A66010F6E	MajorTirednessRegenearation	Régénération majeure de fatigue	une	la	Régénérations majeures de Fatigue	des	les	
_01BCE9F0799924F8	MakeAnklet	Fabrication d'un anneau de cheville	une	la	Fabrications d'anneaux de cheville	des	les	
_E6E88B9DA26BDFC1	MakeAutolaunch	Fabrication d'une mitrailleuse	une	la	Fabrications de mitrailleuses	des	les	
_58A84D5F4AF94B44	MakeAutolaunchAmmo	Fabrication de munitions pour mitrailleuse	une	la	Fabrications de munitions pour mitrailleuses	des	les	
_90B8B46306581057	MakeAxe	Fabrication d'une hache	une	la	Fabrications de haches	des	les	
_90D8586406985859	MakeBag	Fabrication d'un sac	une	la	Fabrications de sacs	des	les	
_836DED0DB76A28F3	MakeBowgun	Fabrication d'une arbalète	une	la	Fabrications d'arbalètes	des	les	
_6E7182DF96ED29C9	MakeBowgunAmmo	Fabrication de munitions pour arbalète	une	la	Fabrications de munitions pour arbalètes	des	les	
_A1D515107FFE3A20	MakeBracelet	Fabrication d'un bracelet	une	la	Fabrications de bracelets	des	les	
_B3F506251E3059DC	MakeBuckler	Fabrication d'une rondache	une	la	Fabrications de rondaches	des	les	
_392FB217A21035D5	MakeClothes	Fabrication de vêtements	une	la	Fabrications de vêtements	des	les	
_806CBDDFB589F0F9	MakeDagger	Fabrication d'une dague	une	la	Fabrications de dagues	des	les	
_3F3C85E1F72910F4	MakeDiadem	Fabrication d'un diadème	une	la	Fabrications de diadèmes	des	les	
_BDACDE4D3678E9F7	MakeEaring	Fabrication d'une boucle d'oreille	une	la	Fabrications de boucles d'oreille	des	les	
_99CF9A08F5CB4324	MakeFireAmmos	Fabrication de munitions incendiaires	une	la	Fabrications de munitions incendiaires	des	les	
_6BFA2687EB3F65CE	MakeFireToughenedArmors	Fabrication d'une armure forgée par le feu	une	la	Fabrications d'armures forgées par le feu	des	les	
_5DDB274FBD6D6B60	MakeFireWeapons	Fabrication d'une arme à feu	une	la	Fabrications d'armes à feu	des	les	
_7A25B19EE3EF09CE	MakeFloralLivingJewels	Fabrication d'un bijou floral vivant	une	la	Fabrications de bijoux floraux vivants	des	les	
_D61E921DB8BE7F70	MakeFloralPatternLivingClothes	Fabrication de vêtements floraux vivants	une	la	Fabrications de vêtements floraux vivants	des	les	
_3564EA24DFAE45CB	MakeGrenade	Fabrication d'une grenade	une	la	Fabrications de grenades	des	les	
_5DB2A7D44F1CA3D5	MakeHarpoonGun	Fabrication d'un pistolet-harpon	une	la	Fabrications de pistolets-harpons	des	les	
_24321D769D476015	MakeHarpoonGunAmmo	Fabrication de munitions pour pistolet-harpon	une	la	Fabrication de munitions pour pistolets-harpons	des	les	
_24DAAAC9894A7EBA	MakeHeavyArmors	Fabrication d'une armure lourde	une	la	Fabrications d'armures lourdes	des	les	
_F12613925D5F5285	MakeHeavyBoots	Fabrication de bottes lourdes	une	la	Fabrications de bottes lourdes	des	les	
_61897E8DECF7D3AB	MakeHeavyGloves	Fabrication de gants lourds	une	la	Fabrications de gants lourds	des	les	
_DF9876EB2FC8ABA0	MakeHeavyHelmet	Fabrication d'un casque lourd	une	la	Fabrications de casques lourds	des	les	
_716683921D7F8A85	MakeHeavyPants	Fabrication d'un pantalon lourd	une	la	Fabrications de pantalons lourds	des	les	
_67688CED00A9176B	MakeHeavySleeves	Fabrication de manches lourdes	une	la	Fabrications de manches lourdes	des	les	
_99D5FEB80CE66203	MakeHeavyVest	Fabrication d'un gilet lourd	une	la	Fabrications de gilets lourds	des	les	
_42CD65D02155B99E	MakeJewels	Fabrication de bijoux	une	la	Fabrications de bijoux	des	les	
_34A8590FAE27CB85	MakeKamicClothes	Fabrication de vêtements kamis	une	la	Fabrications de vêtements kamis	des	les	
_95699B664F72967A	MakeKamicJewels	Fabrication d'un bijou kami	une	la	Fabrications de bijoux kamis	des	les	
_9ACACF60BF7A2F6B	MakeKamicWeapon	Fabrication d'une arme kami	une	la	Fabrications d'armes kamis	des	les	
_ADBFC1E65BE62BD6	MakeLance	Fabrication d'une lance kamie	une	la	Fabrications de lances kamies	des	les	
_E164250C41DF1A49	MakeLauncher	Fabrication d'un lance-grenades kami	une	la	Fabrications de lance-grenades Kamis	des	les	
_DFDDC01F39E70A29	MakeLauncherAmmo	Fabrication de munitions pour lance-grenades kamis	une	la	Fabrications de munitions pour lance-grenades kamis	des	les	
_B1452B919ADE7A8D	MakeLightBoots	Fabrication de bottes légères	une	la	Fabrications de bottes légères	des	les	
_E2C98E83E6B7DFA5	MakeLightGloves	Fabrication de gants légers	une	la	Fabrications de gants légers	des	les	
_60D886E12988B79A	MakeLightHelmet	Fabrication d'un casque léger	une	la	Fabrications de casques légers	des	les	
_31859B915AFEB28D	MakeLightPants	Fabrication d'un pantalon léger	une	la	Fabrications de pantalons légers	des	les	
_686878DABD684F73	MakeLightSleeves	Fabrication de manches légères	une	la	Fabrications de manches légères	des	les	
_9A15EAA50A364A0D	MakeLightVest	Fabrication d'un gilet léger	une	la	Fabrications de gilets légers	des	les	
_93B5F2C0B18D74E6	MakeLongAxe	Fabrication d'une hache à deux mains	une	la	Fabrications de haches à deux mains	des	les	
_D630EAD54340E14A	MakeLongMace	Fabrication d'une massue à deux mains	une	la	Fabrications de massues à deux mains	des	les	
_1FD845A457C05A0E	MakeLongSword	Fabrication d'une épée à deux mains	une	la	Fabrications d'épées à deux mains	des	les	
_2487A4CC28998435	MakeMace	Fabrication d'une massue	une	la	Fabrications de massues	des	les	
_249833D77C3DF353	MakeMediumArmors	Fabrication d'une armure moyenne	une	la	Fabrications d'armures moyennes	des	les	
_5B045F5B9D1CE3A1	MakeMediumBoots	Fabrication. de bottes moyennes	une	la	Fabrications de bottes moyennes	des	les	
_609817297DA8535F	MakeMediumGloves	Fabrication de gants moyens	une	la	Fabrications de gants moyens	des	les	
_35E84B28BD78EF5A	MakeMediumHelmet	Fabrication d'un casque moyen	une	la	Fabrication de casques moyens	des	les	
_5CD527699D1CDF92	MakeMediumPants	Fabrication d'un pantalon moyen	une	la	Fabrications de pantalons moyens	des	les	
_0371DC2A30794373	MakeMediumSleeves	Fabrication de manches moyennes	une	la	Fabrications de manches moyennes	des	les	
_302346DAD82D72D8	MakeMediumVest	Fabrication d'un gilet moyen	une	la	Fabrications de gilets moyens	des	les	
_6EF52BF62AAC8F82	MakeMeleeWeapons	Fabrication d'une arme de mêlée	une	la	Fabrications d'armes de mêlée	des	les	
_3175AA365D2061D4	MakePendant	Fabrication d'un pendentif	une	la	Fabrications de pendentifs	des	les	
_26B8A4CC2A99B040	MakePike	Fabrication d'une pique	une	la	Fabrications de piques	des	les	
_81DD09FDFE0B10FF	MakePistol	Fabrication d'un pistolet	une	la	Fabrications de pistolets	des	les	
_70426AD1DC7E01CF	MakePistolAmmo	Fabrication de munitions pistolet	une	la	Fabrications de munitions de pistolets	des	les	
_0B53EDC45CF7C64C	MakePistolarc	Fabrication d'un pistolet-arbalète	une	la	Fabrications de pistolets-arbalètes	des	les	
_1931C00DE17507E4	MakePistolarcAmmo	Fabrication de munitions pour pistolet-arbalète	une	la	Fabrications de munitions pour pistolets-arbalètes	des	les	
